codelettres	numero	categorie	compositeurs	oeuvres	interpretes	remarques
tex	1	jazz	Texier, Henri	"Paris-Batignolles"	Henri Texier Quartet, Joe Lovano	
tex	2	jazz	Texier, Henri	Mad Nomads		
thi	1	jazz	Thielemans, Tooth	Live		
thi	2	jazz	Thielemans, Tooth	Only Trust Your Heart		
tib	1	jazz	Tibbetts, Steve	Northern Songs		
tjad	1	jazz	Tjader, Cal	Roots of Acid Jazz		
tsf	1	jazz	TSF	Un p'tit air dans la tête		
tyn	1	jazz	Tyner, McCoy	Infinity	McCoy Tyner Trio, Michael Brecker	
tyn	2	jazz	Tyner, McCoy	Live - What's New		
tyn	3	jazz	Tyner, McCoy	Live at Newport	McCoy Tyner, Clark Terry, Charlie Mariano, Bob Cranshaw, Mickey Rocker	
tyn	4	jazz	Tyner, McCoy	Manhattan Moods	McCoy Tyner, Bobby Hutcherson	
vox	1	jazz	Vox Office	Boppin' in French		
wal	1	jazz	Waldron, Mal	Songs of Love and Regrets	Mal Waldron, Marion Brown	
walf	1	jazz	Waller, Fats	the Cream Series		
wash	1	jazz	Washington, Dinah	the blues ain't nothin' but a woman		
wash	2	jazz	Washington, Dinah	Compact Jazz	Quincy Jones, Clifford Brown, Max Roach	
